,Country Code,Bed Number,Online Percentage
0,AT,601945 ,65
1,BE,129232 ,71
2,BG,281869 ,45
3,CY,83251 ,62
4,DE,1784654 ,68
5,DK,90503 ,82
6,EE,32404 ,62
7,EL,797995 ,47
8,ES,1893978 ,72
9,FI,135177 ,76
10,FR,1312372 ,61
11,HR,167380 ,52
12,HU,181407 ,58
13,IE,150083 ,69
14,IT,2248225 ,29
15,LT,28665 ,45
16,LU,15689 ,78
17,LV,26164 ,48
18,MK,19567 ,57
19,MT,41684 ,64
20,NL,261164 ,78
21,NO,187943 ,80
22,PL,325776 ,32
23,PT,337175 ,51
24,RO,213635 ,44
25,SE,240883 ,80
26,SI,45716 ,54
27,SK,95774 ,58
28,TR,897456 ,53
29,UK,1950485 ,81
